2021-03-30 00:02:47.037 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-03-30 01:31:20.955 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3cf4038f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:31:20.957 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62d20097 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:31:20.959 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d4810e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:31:20.961 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8d2d58c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:31:20.964 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b9c86e9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:31:20.966 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f2e97e1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:39:10.851 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2766637f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:32.585 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2c09f89a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:37.591 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@674960b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:42.598 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5db2cbfa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:47.603 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23a6cce (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:52.607 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c4f1823 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:45:57.609 [http-nio-8080-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ecd6e62 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:46:38.662 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@226919dd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:46:43.666 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ceef2e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:46:48.668 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@320ea0d3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:46:53.671 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43ef11cf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:02.196 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2eb89d62 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:07.201 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@28fc2709 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:12.204 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9eed27d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:17.209 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d0d69ac (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:22.215 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@da0af32 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:27.218 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e7f6745 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:54.887 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53d87029 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:56:59.892 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e7fe2ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:04.897 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e74d210 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:09.900 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a6347d4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:14.902 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2df2e949 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.673 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c8bc996 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.675 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@66a26e7a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.678 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b6cf82c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.680 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4baecd4d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.683 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e9f1a17 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.686 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18792b08 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 01:57:16.688 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@22b38365 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:06:39.997 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4ec16b90 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:06:45.004 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c0c04e2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:06:50.011 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1d1ef196 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:06:55.019 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@78e38716 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:07:00.024 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@19508829 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:07:05.028 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@661eaef8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:07:47.365 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4aa77031 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:07:52.370 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@263dda37 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:07:57.374 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7977e96 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-03-30 02:08:02.377 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@657f7c41 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
